points,Bordeaux-style Red Blend,Cabernet Sauvignon,Chardonnay,Pinot Noir,Red Blend
80,5.0,87.0,68.0,36.0,72.0
81,18.0,159.0,150.0,83.0,107.0
82,72.0,435.0,517.0,295.0,223.0
83,95.0,570.0,669.0,346.0,364.0
84,268.0,923.0,1146.0,733.0,602.0
85,310.0,1048.0,1244.0,873.0,587.0
86,354.0,1194.0,1472.0,1218.0,871.0
87,510.0,1566.0,1809.0,1726.0,1233.0
88,498.0,1141.0,1416.0,1474.0,1260.0
89,433.0,908.0,969.0,1154.0,928.0
90,557.0,1329.0,1353.0,1550.0,1049.0
91,429.0,816.0,881.0,1062.0,820.0
92,386.0,1008.0,873.0,1125.0,555.0
93,250.0,645.0,617.0,933.0,370.0
94,179.0,438.0,309.0,586.0,184.0
95,102.0,229.0,176.0,254.0,85.0
96,37.0,101.0,73.0,101.0,30.0
97,30.0,55.0,23.0,56.0,27.0
98,11.0,12.0,7.0,19.0,4.0
99,1.0,4.0,,2.0,5.0
100,,3.0,3.0,2.0,2.0
